id	source	target	cost	delay	loss
0	0	19	4	9	7
1	19	0	4	9	7
2	0	14	9	8	2
3	14	0	9	8	2
4	8	9	15	5	4
5	9	8	15	5	4
6	8	14	23	6	4
7	14	8	23	6	4
8	10	14	14	2	9
9	14	10	14	2	9
10	11	18	3	1	9
11	18	11	3	1	9
12	12	14	21	7	8
13	14	12	21	7	8
14	3	14	21	5	1
15	14	3	21	5	1
16	1	2	25	10	8
17	2	1	25	10	8
18	4	5	25	2	8
19	5	4	25	2	8
20	14	17	8	2	2
21	17	14	8	2	2
22	9	10	22	9	7
23	10	9	22	9	7
24	5	6	26	7	6
25	6	5	26	7	6
26	0	1	18	6	4
27	1	0	18	6	4
28	10	17	2	5	5
29	17	10	2	5	5
30	14	15	29	4	10
31	15	14	29	4	10
32	5	17	20	7	1
33	17	5	20	7	1
34	15	17	4	4	1
35	17	15	4	4	1
36	11	19	17	7	7
37	19	11	17	7	7
38	18	19	25	5	5
39	19	18	25	5	5
40	17	19	10	6	8
41	19	17	10	6	8
42	2	10	27	8	7
43	10	2	27	8	7
44	12	13	8	2	10
45	13	12	8	2	10
46	7	8	30	7	1
47	8	7	30	7	1
48	3	17	2	5	10
49	17	3	2	5	10
50	16	17	18	6	2
51	17	16	18	6	2
52	14	18	6	10	1
53	18	14	6	10	1
54	11	14	23	14	12
55	14	11	23	14	12
56	13	14	13	11	16
57	14	13	13	11	16
58	17	18	28	10	11
59	18	17	28	10	11
60	3	4	26	16	19
61	4	3	26	16	19
62	2	3	13	12	14
63	3	2	13	12	14
64	11	12	14	14	20
65	12	11	14	14	20
66	15	16	27	14	14
67	16	15	27	14	14
68	11	17	23	20	17
69	17	11	23	20	17
70	10	11	10	24	28
71	11	10	10	24	28
72	6	7	4	23	29
73	7	6	4	23	29
